schurfert2-32,,203799.908,186947.886,20.254
schurfert2-33,,203799.193,186947.241,20.253
schurfert2-34,,203798.273,186946.559,20.309
schurfert2-35,,203797.467,186946.028,20.346
schurfert2-36,,203799.539,186951.622,20.424
schurfert2-37,,203798.405,186951.398,20.235
schurfert2-38,,203797.254,186951.021,20.190
schurfert2-39,,203796.179,186950.682,20.237
schurfert2-40,,203795.411,186950.104,20.243
schurfert2-41,,203799.656,186956.060,20.368
schurfert2-42,,203798.555,186956.385,20.340
schurfert2-43,,203797.481,186956.729,20.263
schurfert2-44,,203796.374,186957.077,20.213
schurfert2-45,,203795.352,186957.796,20.284
schurfert2-46,,203801.373,186959.272,20.347
schurfert2-47,,203800.465,186959.907,20.322
schurfert2-48,,203799.481,186960.556,20.243
schurfert2-49,,203798.595,186961.183,20.195
schurfert2-50,,203797.609,186961.749,20.325
schurfert2-51,,203804.543,186961.333,20.388
schurfert2-52,,203803.875,186962.180,20.317
schurfert2-53,,203803.004,186963.120,20.237
schurfert2-54,,203801.945,186963.939,20.118
schurfert2-55,,203800.869,186964.879,20.231
schurfert2-56,,203807.033,186963.068,20.544
schurfert2-57,,203806.366,186964.058,20.340
schurfert2-58,,203805.352,186965.093,20.017
schurfert2-59,,203804.329,186965.928,19.464
schurfert2-60,,203803.644,186966.566,19.897
schurfert2-61,,203809.170,186965.534,19.943
schurfert2-62,,203808.202,186966.629,19.403
schurfert2-63,,203806.622,186968.029,19.198
schurfert2-64,,203805.914,186969.122,19.794
schurfert2-65,,203805.227,186970.557,20.377
schurfert2-66,,203812.874,186965.236,19.701
schurfert2-67,,203813.929,186965.884,19.824
schurfert2-68,,203814.737,186966.408,19.180
schurfert2-69,,203816.395,186967.335,19.709
schurfert2-70,,203817.734,186967.883,20.387
schurfert2-71,,203814.415,186961.501,20.565
schurfert2-72,,203815.632,186962.066,20.207
schurfert2-73,,203816.595,186962.970,18.956
schurfert2-74,,203817.841,186963.604,19.402
schurfert2-75,,203819.160,186964.691,20.398
schurfert3-1,,203843.243,186979.616,20.392
schurfert3-2,,203842.305,186979.708,20.313
schurfert3-3,,203841.088,186979.701,20.299
schurfert3-4,,203839.655,186979.690,20.379
schurfert3-5,,203838.152,186979.767,20.371
schurfert3-6,,203843.270,186982.407,20.499
schurfert3-7,,203842.269,186982.354,20.362
schurfert3-8,,203840.954,186982.371,20.339
schurfert3-9,,203839.728,186982.358,20.411
schurfert3-10,,203838.527,186982.339,20.370
schurfert3-11,,203842.652,186985.545,20.568
schurfert3-12,,203841.716,186985.381,20.455
schurfert3-13,,203840.521,186985.083,20.384
schurfert3-14,,203839.467,186984.885,20.212
schurfert3-15,,203838.629,186984.795,20.213
schurfert3-16,,203840.738,186988.502,20.513
schurfert3-17,,203839.838,186988.302,20.214
schurfert3-18,,203839.066,186987.994,19.910
schurfert3-19,,203837.993,186987.658,19.945
schurfert3-20,,203836.919,186987.574,20.276
schurfert3-21,,203841.010,186992.797,20.444
schurfert3-22,,203839.886,186993.249,20.224
schurfert3-23,,203838.257,186993.534,19.998
schurfert3-24,,203836.988,186993.736,19.791
schurfert3-25,,203835.701,186994.134,20.401
schurfert3-26,,203843.106,186996.008,20.461
schurfert3-27,,203841.923,186996.532,20.336
schurfert3-28,,203840.609,186997.406,20.278
schurfert3-29,,203838.950,186998.529,19.857
