"","X","Y","Z","loc","jaar"
"1:211",205714.273,188328.879,21.528,"controle2-61","2016"
"1:212",205713.92,188329.86,21.687,"controle2-62","2016"
"1:213",205713.247,188330.81,21.669,"controle2-63","2016"
"1:214",205712.987,188331.577,21.675,"controle2-64","2016"
"1:215",205712.552,188332.48,21.627,"controle2-65","2016"
"1:216",205715.344,188334.025,21.577,"controle2-66","2016"
"1:217",205715.687,188333.195,21.688,"controle2-67","2016"
"1:218",205715.952,188332.476,21.804,"controle2-68","2016"
"1:219",205716.275,188331.566,21.72,"controle2-69","2016"
"1:220",205717.065,188330.321,21.802,"controle2-70","2016"
"1:221",205720.118,188331.704,21.659,"controle2-71","2016"
"1:222",205719.729,188332.476,21.541,"controle2-72","2016"
"1:223",205719.139,188333.689,21.733,"controle2-73","2016"
"1:224",205718.8,188334.485,21.67,"controle2-74","2016"
"1:225",205718.14,188335.396,21.658,"controle2-75","2016"
"1:226",205768.93,188353.931,22.069,"controle3-1","2016"
"1:227",205768.605,188354.671,21.564,"controle3-2","2016"
"1:228",205768.123,188355.709,21.699,"controle3-3","2016"
"1:229",205767.957,188356.545,21.704,"controle3-4","2016"
"1:230",205767.626,188357.452,21.509,"controle3-5","2016"
"1:231",205769.751,188358.526,21.799,"controle3-6","2016"
"1:232",205770.201,188357.548,21.749,"controle3-7","2016"
"1:233",205770.541,188356.676,21.669,"controle3-8","2016"
"1:234",205771.008,188355.998,21.67,"controle3-9","2016"
"1:235",205771.57,188355,21.911,"controle3-10","2016"
"1:236",205774.57,188356.608,21.817,"controle3-11","2016"
"1:237",205774.34,188357.321,21.489,"controle3-12","2016"
"1:238",205773.739,188358.317,21.398,"controle3-13","2016"
"1:239",205773.206,188358.978,21.567,"controle3-14","2016"
"1:240",205772.883,188359.906,21.823,"controle3-15","2016"
"1:241",205775.654,188361.277,21.877,"controle3-16","2016"
"1:242",205775.847,188360.375,21.579,"controle3-17","2016"
"1:243",205776.295,188359.451,21.375,"controle3-18","2016"
"1:244",205776.673,188358.485,21.419,"controle3-19","2016"
"1:245",205777.258,188357.692,21.962,"controle3-20","2016"
"1:246",205781.538,188358.994,21.918,"controle3-21","2016"
"1:247",205780.969,188360.207,21.517,"controle3-22","2016"
"1:248",205780.444,188361.361,21.418,"controle3-23","2016"
"1:249",205780.08,188362.427,21.424,"controle3-24","2016"
"1:250",205779.575,188363.445,21.843,"controle3-25","2016"
"1:251",205781.875,188364.012,21.716,"controle3-26","2016"
"1:252",205782.402,188363.052,21.512,"controle3-27","2016"
"1:253",205782.791,188362.338,21.572,"controle3-28","2016"
"1:254",205783.156,188361.18,21.513,"controle3-29","2016"
"1:255",205783.542,188360.312,21.765,"controle3-30","2016"
"1:256",205786.231,188361.374,22.011,"controle3-31","2016"
"1:257",205785.79,188362.249,21.634,"controle3-32","2016"
"1:258",205785.326,188363.177,21.569,"controle3-33","2016"
"1:259",205784.878,188364.027,21.658,"controle3-34","2016"
"1:260",205784.488,188364.93,21.766,"controle3-35","2016"
"1:261",205787.614,188366.388,21.875,"controle3-36","2016"
"1:262",205788.026,188365.619,21.724,"controle3-37","2016"
"1:263",205788.357,188364.769,21.606,"controle3-38","2016"
"1:264",205788.779,188363.932,21.553,"controle3-39","2016"
"1:265",205789.197,188363.255,21.987,"controle3-40","2016"
"1:266",205792.487,188364.853,21.786,"controle3-41","2016"
"1:267",205792.131,188365.73,21.492,"controle3-42","2016"
"1:268",205791.644,188366.521,21.653,"controle3-43","2016"
"1:269",205791.209,188367.116,21.72,"controle3-44","2016"
"1:270",205790.912,188367.975,21.821,"controle3-45","2016"
"1:271",205792.893,188368.925,21.755,"controle3-46","2016"
"1:272",205793.354,188368.248,21.669,"controle3-47","2016"
"1:273",205793.678,188367.544,21.619,"controle3-48","2016"
"1:274",205794.111,188366.724,21.628,"controle3-49","2016"
"1:275",205794.717,188365.844,21.975,"controle3-50","2016"
"1:276",205798.325,188367.698,22.12,"controle3-51","2016"
"1:277",205797.869,188368.646,21.722,"controle3-52","2016"
"1:278",205797.204,188369.444,21.795,"controle3-53","2016"
"1:279",205796.669,188370.249,21.621,"controle3-54","2016"
"1:280",205796.151,188371.258,21.808,"controle3-55","2016"
"1:281",205798.878,188372.821,21.644,"controle3-56","2016"
"1:282",205799.422,188372.108,21.663,"controle3-57","2016"
"1:283",205799.898,188371.126,21.787,"controle3-58","2016"
"1:284",205800.446,188370.217,21.81,"controle3-59","2016"
"1:285",205801.057,188369.204,22.085,"controle3-60","2016"
"1:286",205804.358,188370.972,22.032,"controle3-61","2016"
"1:287",205804.03,188371.948,21.97,"controle3-62","2016"
"1:288",205803.289,188373.008,21.815,"controle3-63","2016"
"1:289",205802.802,188373.904,21.795,"controle3-64","2016"
"1:290",205802.137,188375.053,21.737,"controle3-65","2016"
"1:291",205804.757,188376.648,21.972,"controle3-66","2016"
"1:292",205805.298,188375.74,21.813,"controle3-67","2016"
"1:293",205805.743,188374.858,21.813,"controle3-68","2016"
"1:294",205806.285,188373.825,21.819,"controle3-69","2016"
"1:295",205807.267,188372.627,22.096,"controle3-70","2016"
"1:296",205809.827,188374.139,22.125,"controle3-71","2016"
"1:297",205809.144,188375.099,21.782,"controle3-72","2016"
"1:298",205808.426,188376.439,21.777,"controle3-73","2016"
"1:299",205807.984,188377.397,21.742,"controle3-74","2016"
"1:300",205807.458,188378.224,21.767,"controle3-75","2016"
"1:301",206064.697,188510.752,22.274,"controle6-1","2016"
"1:302",206064.25,188511.724,21.855,"controle6-2","2016"
"1:303",206063.745,188512.595,21.857,"controle6-3","2016"
"1:304",206063.345,188513.433,21.634,"controle6-4","2016"
"1:305",206063.043,188514.273,21.738,"controle6-5","2016"
"1:306",206065.244,188515.675,21.921,"controle6-6","2016"
"1:307",206065.895,188514.987,21.822,"controle6-7","2016"
"1:308",206065.904,188514.935,21.813,"controle6-8","2016"
"1:309",206066.271,188513.888,21.772,"controle6-9","2016"
"1:310",206066.828,188513.171,21.793,"controle6-10","2016"
"1:311",206067.372,188512.469,22.264,"controle6-11","2016"
"1:312",206070.409,188513.739,22.295,"controle6-12","2016"
"1:313",206070.124,188514.917,21.837,"controle6-13","2016"
"1:314",206069.636,188515.85,21.803,"controle6-14","2016"
"1:315",206069.216,188516.631,21.776,"controle6-15","2016"
"1:316",206068.63,188517.535,21.891,"controle6-16","2016"
"1:317",206071.786,188519.498,22.034,"controle6-17","2016"
"1:318",206072.346,188518.391,21.98,"controle6-18","2016"
"1:319",206073.008,188517.196,21.884,"controle6-19","2016"
"1:320",206073.392,188516.441,21.652,"controle6-20","2016"
"1:321",206073.91,188515.292,22.272,"controle6-21","2016"
"1:322",206076.891,188517.234,21.9,"controle6-22","2016"
"1:323",206076.655,188517.985,21.954,"controle6-23","2016"
"1:324",206076.059,188519.062,21.738,"controle6-24","2016"
"1:325",206076.002,188519.921,21.956,"controle6-25","2016"
"1:326",206075.745,188521.129,21.971,"controle6-26","2016"
"1:327",206078.588,188522.477,21.748,"controle6-27","2016"
"1:328",206079.174,188521.593,21.646,"controle6-28","2016"
"1:329",206079.709,188520.668,21.695,"controle6-29","2016"
"1:330",206080.194,188519.753,21.789,"controle6-30","2016"
"1:331",206080.631,188519.146,22.185,"controle6-31","2016"
"1:332",206083.972,188520.967,22.369,"controle6-32","2016"
"1:333",206083.775,188521.838,21.848,"controle6-33","2016"
"1:334",206083.312,188522.645,21.682,"controle6-34","2016"
"1:335",206082.813,188523.611,21.73,"controle6-35","2016"
"1:336",206082.276,188524.648,21.879,"controle6-36","2016"
"1:337",206084.747,188526.121,21.92,"controle6-37","2016"
"1:338",206085.259,188525.024,21.854,"controle6-38","2016"
"1:339",206085.674,188523.711,21.704,"controle6-39","2016"
